Class Name;ShovelPower;QuarryPower;HackPower
DiamondPickaxeBlock;7;18;4
IronPickaxeBlock;5;13.5;4
CopperPickaxeBlock;2;10;4
StoneAxeBlock;5;6;3
DiamondAxeBlock;;;8
IronAxeBlock;;;7.5
CopperAxeBlock;;;7
RodBlock;2.1;6.2;3.4
AirBlock;1;0.5;0
SSBlock;2;4;2
BedrockBlock;1;0.5;0
DirtBlock;1;0.5;0
SoilBlock;1;0.5;0
LimestoneBlock;1;0.5;0
GraniteBlock;1;0.5;0
BasaltBlock;1;0.5;0
SandstoneBlock;1;0.5;0
GravelBlock;1;0.5;0
ClayBlock;1;0.5;0
SandBlock;1;0.5;0
GHBlock;0;0;0
XYBlock;0;0;0
GrassBlock;1;0.5;0
WaterBlock;1;0.5;0
MagmaBlock;1;0.5;0
SnowBlock;1;0.5;0
IceBlock;1;0.5;0
FireBlock;1;0.5;0
CoalOreBlock;1;0.5;0
CopperOreBlock;1;0.5;0
IronOreBlock;1;0.5;0
SulphurOreBlock;1;0.5;0
DiamondOreBlock;1;0.5;0
GermaniumOreBlock;1;0.5;0
SaltpeterOreBlock;1;0.5;0
CoalBlock;1;0.5;0
StoneChunkBlock;1;0.5;0
CoalChunkBlock;1;0.5;0
MalachiteChunkBlock;1;0.5;0
IronOreChunkBlock;1;0.5;0
SaltpeterChunkBlock;1;0.5;0
SulphurChunkBlock;1;0.5;0
GermaniumOreChunkBlock;1;0.5;0
GermaniumChunkBlock;1;0.5;0
DiamondChunkBlock;1;0.5;0
OakWoodBlock;1;0.5;0
BirchWoodBlock;1;0.5;0
SpruceWoodBlock;1;0.5;0
MimosaWoodBlock;1;0.5;0
OakLeavesBlock;1;0.5;0
BirchLeavesBlock;1;0.5;0
SpruceLeavesBlock;1;0.5;0
TallSpruceLeavesBlock;1;0.5;0
MimosaLeavesBlock;1;0.5;0
TallGrassBlock;1;0.5;0
RyeBlock;1;0.5;0
RedFlowerBlock;1;0.5;0
PurpleFlowerBlock;1;0.5;0
WhiteFlowerBlock;1;0.5;0
DryBushBlock;1;0.5;0
LargeDryBushBlock;1;0.5;0
SaplingBlock;1;0.5;0
CactusBlock;1;0.5;0
IvyBlock;1;0.5;0
PumpkinBlock;1;0.5;0
RottenPumpkinBlock;1;0.5;0
SeedsBlock;1;0.5;0
CottonBlock;1;0.5;0
CottonWadBlock;1;0.5;0
SeaUrchinBlock;1;0.5;0
StarfishBlock;1;0.5;0
KelpBlock;1;0.5;0
SeagrassBlock;1;0.5;0
PlanksBlock;1;0.5;0
CobblestoneBlock;1;0.5;0
StoneBrickBlock;1;0.5;0
BricksBlock;1;0.5;0
MarbleBlock;1;0.5;0
MalachiteBlock;1;0.5;0
DiamondBlock;1;0.5;0
IronBlock;1;0.5;0
CopperBlock;1;0.5;0
SemiconductorBlock;1;0.5;0
GlassBlock;1;0.5;0
FramedGlassBlock;1;0.5;0
WindowBlock;1;0.5;0
WoodenStairsBlock;1;0.5;0
StoneStairsBlock;1;0.5;0
CobblestoneStairsBlock;1;0.5;0
StoneBrickStairsBlock;1;0.5;0
BrickStairsBlock;1;0.5;0
SandstoneStairsBlock;1;0.5;0
MarbleStairsBlock;1;0.5;0
BasaltStairsBlock;1;0.5;0
WoodenSlabBlock;1;0.5;0
StoneSlabBlock;1;0.5;0
CobblestoneSlabBlock;1;0.5;0
StoneBrickSlabBlock;1;0.5;0
BrickSlabBlock;1;0.5;0
SandstoneSlabBlock;1;0.5;0
MarbleSlabBlock;1;0.5;0
BasaltSlabBlock;1;0.5;0
BrickBlock;1;0.5;0
SnowballBlock;1;0.5;0
WoodenDoorBlock;1;0.5;0
IronDoorBlock;1;0.5;0
CellDoorBlock;1;0.5;0
WoodenTrapdoorBlock;1;0.5;0
CellTrapdoorBlock;1;0.5;0
WoodenLadderBlock;1;0.5;0
IronLadderBlock;1;0.5;0
WickerLampBlock;1;0.5;0
TorchBlock;1;0.5;0
StickBlock;1;0.5;0
IronIngotBlock;1;0.5;0
CopperIngotBlock;1;0.5;0
